Age,Total,Men,Women
0,40944,21102,19842
1,40867,21045,19822
2,40797,20996,19801
3,40732,20955,19777
4,40668,20917,19751
5,40602,20881,19721
6,40531,20843,19688
7,40452,20801,19650
8,40361,20753,19608
9,40255,20695,19560
10,40152,20636,19516
11,40070,20586,19484
12,39899,20483,19416
13,39596,20302,19294
14,39219,20075,19144
15,38890,19869,19021
16,38606,19684,18922
17,38369,19510,18859
18,38200,19356,18845
19,38114,19232,18881
20,38076,19133,18943
21,38061,19043,19018
22,38302,19085,19218
23,38902,19313,19588
24,39747,19671,20076
25,40584,20025,20559
26,41415,20378,21036
27,42325,20777,21548
28,43314,21222,22092
29,44316,21680,22635
30,45296,22130,23166
31,46302,22595,23707
32,46938,22887,24051
33,47018,22918,24100
34,46721,22771,23950
35,46398,22612,23787
36,45956,22393,23563
37,45621,22224,23398
38,45536,22171,23366
39,45573,22172,23402
40,45466,22101,23365
41,45269,21987,23281
42,44911,21779,23132
43,44331,21439,22892
44,43572,20996,22576
45,42797,20545,22252
46,42043,20098,21945
47,41004,19522,21482
48,39564,18769,20795
49,37898,17916,19982
50,36270,17076,19194
51,34597,16212,18385
52,33294,15522,17772
53,32585,15113,17472
54,32281,14894,17387
55,31939,14657,17282
56,31614,14429,17185
57,31388,14239,17149
58,31248,14077,17171
59,31154,13929,17225
60,31096,13799,17296
61,31091,13694,17397
62,30905,13512,17394
63,30425,13203,17222
64,29748,12811,16937
65,29076,12422,16654
66,28358,12015,16343
67,27676,11623,16053
68,27087,11270,15817
69,26538,10936,15602
>70,366700,130039,236661
Total,3075650,1444545,1631105
